
------------------Resources used from 201901 to 202012 on Knight Landing------------------
date        username    account              localCluster       num.jobs
                                               Consumed/h
------------------------------------------------------------------------------------------
20200601    a07atl01    Pra18_4658            26847:20:40            171
20200602    a07ali01    Pra18_4658             9792:46:28              3
20200602    a07atl01    Pra18_4658            93624:15:04            724
20200602    a07cms04    Pra18_4658           140973:42:32            818
20200602    a07lhc01    Pra18_4658             1784:19:12            209

---------------------Total from 201901 to 202012 on Knight Landing------------------------
            username    account              localCluster       num.jobs
                                               Consumed/h

            dspiga00    Pra18_4658              3115:51:16            122
            a07lhc01    Pra18_4658            448973:48:56           6654
            a07cms05    Pra18_4658               625:20:08             27
            a07ali01    Pra18_4658             75826:00:24            123
            a07cms04    Pra18_4658           4951356:33:08          46139
            fnoferin    Pra18_4658              2338:26:40             53
            a07lhc00    Pra18_4658              7248:18:32            789
            a07cms01    Pra18_4658              6962:56:08            259
            a07cms02    Pra18_4658           4754474:14:40          72328
            a07ali00    Pra18_4658            130726:49:36            458
            mconcas0    Pra18_4658             16561:35:20            462
            tboccali    Pra18_4658              7313:28:32            132
            fstagni0    Pra18_4658                 4:43:20              2
            sdalpra0    Pra18_4658               287:12:20             21
            a07cms03    Pra18_4658                74:59:20            508
            a07cms00    Pra18_4658            213139:08:36           4963
            a07atl01    Pra18_4658           2749397:08:12          15380
            avalassi    Pra18_4658             11255:28:24             77
------------------------------------------------------------------------------------------
                          Total             13379682:03:32         148497
